Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
1969,42,The Prime of Miss Jean Brodie,Actress,F,1,Maggie Smith,White,35,https://image.tmdb.org/t/p/w1280//kkMNu2iqkBPkbjhNBmDaUX7FHr.jpg
1969,42,Cactus Flower,Actress in a Supporting Role,F,1,Goldie Hawn,White,24,https://image.tmdb.org/t/p/w1280//29s9YEFtR1A3ijJ01JlLjYtLpNU.jpg
1970,43,Patton,Actor,M,1,George C. Scott,White,43,https://image.tmdb.org/t/p/w1280//wFC6K5wv6r4DgZI09JGaAsb1eCR.jpg
1970,43,Ryan's Daughter,Actor in a Supporting Role,M,1,John Mills,White,63,https://image.tmdb.org/t/p/w1280//5MiJRQj6irdxqCtAhX00YWqmGjZ.jpg
1970,43,Women in Love,Actress,F,1,Glenda Jackson,White,34,https://image.tmdb.org/t/p/w1280//7o9KfeMoegPR5rY905vojh1Fadc.jpg
1970,43,Airport,Actress in a Supporting Role,F,1,Helen Hayes,White,70,https://image.tmdb.org/t/p/w1280//6QJDTvIT0v5E9pR1rgPtq59Ej8.jpg
1971,44,The French Connection,Actor,M,1,Gene Hackman,White,42,https://image.tmdb.org/t/p/w1280//qEKcmwc1XstymEniGuCs3KIsGfP.jpg
1971,44,The Last Picture Show,Actor in a Supporting Role,M,1,Ben Johnson,White,53,https://www.truewestmagazine.com/wp-content/uploads/2015/03/ben-johnson-1-blog.jpg
1971,44,Klute,Actress,F,1,Jane Fonda,White,34,https://image.tmdb.org/t/p/w1280//y1QtAxHn8XOi4cHzDRJUuvK3aFp.jpg
1971,44,The Last Picture Show,Actress in a Supporting Role,F,1,Cloris Leachman,White,45,https://image.tmdb.org/t/p/w1280//8ByYhjEHavhZiQYriHVXsWUfu8c.jpg
1972,45,The Godfather,Actor,M,1,Marlon Brando,White,48,https://image.tmdb.org/t/p/w1280//8IqKmUh8GugHVgutNxBJY9BWnsJ.jpg
1972,45,Cabaret,Actor in a Supporting Role,M,1,Joel Grey,White,40,https://image.tmdb.org/t/p/w1280//yCLwC64GVp96bNi7eTPT0VPmjON.jpg
1972,45,Cabaret,Actress,F,1,Liza Minnelli,White,27,https://image.tmdb.org/t/p/w1280//1G5DNqKJ4ufFryQTGmmTqCqYsY4.jpg
1972,45,Butterflies Are Free,Actress in a Supporting Role,F,1,Eileen Heckart,White,53,https://image.tmdb.org/t/p/w1280//6NOXsgcudnmTAt8oK5ycMlBelUe.jpg
1973,46,Save the Tiger,Actor,M,1,Jack Lemmon,White,49,https://image.tmdb.org/t/p/w1280//chZmNRYMtqkiDlatprGDH4BzGqG.jpg
1973,46,The Paper Chase,Actor in a Supporting Role,M,1,John Houseman,White,71,https://image.tmdb.org/t/p/w1280//yN0o6KfCD7Lbb50oYuYn1oxHONB.jpg
1973,46,A Touch of Class,Actress,F,1,Glenda Jackson,White,37,https://image.tmdb.org/t/p/w1280//7o9KfeMoegPR5rY905vojh1Fadc.jpg
1973,46,Paper Moon,Actress in a Supporting Role,F,1,Tatum O'Neal,White,10,https://image.tmdb.org/t/p/w1280//lxADRrqnjxA43bJJT60bVgfLB0Z.jpg
1974,47,Harry and Tonto,Actor,M,1,Art Carney,White,56,https://image.tmdb.org/t/p/w1280//sbK2jpM0gKMeovCOLnS3i8ZbR29.jpg
1974,47,The Godfather Part II,Actor in a Supporting Role,M,1,Robert De Niro,White,31,https://image.tmdb.org/t/p/w1280//lvTSwUcvJRLAJ2FB5qFaukel516.jpg
1974,47,Alice Doesn't Live Here Anymore,Actress,F,1,Ellen Burstyn,White,42,https://image.tmdb.org/t/p/w1280//kxWFljG3JjJMbOMCLm0SkrPQjhf.jpg
1974,47,Murder on the Orient Express,Actress in a Supporting Role,F,1,Ingrid Bergman,White,59,https://image.tmdb.org/t/p/w1280//jXEE0P6705JbMAJ2nwtHjmqkd5F.jpg
1975,48,One Flew over the Cuckoo's Nest,Actor,M,1,Jack Nicholson,White,38,https://image.tmdb.org/t/p/w1280//z5kVLyn3sxj0wNRlFgVgT6deeRO.jpg
1975,48,The Sunshine Boys,Actor in a Supporting Role,M,1,George Burns,White,80,https://image.tmdb.org/t/p/w1280//4Uw1GXgr21eSMWDZiAQkIXg5axL.jpg
1975,48,One Flew over the Cuckoo's Nest,Actress,F,1,Louise Fletcher,White,41,https://image.tmdb.org/t/p/w1280//A4Cn7LsuLlOXvOMKv5ez4ThyeZL.jpg
1975,48,Shampoo,Actress in a Supporting Role,F,1,Lee Grant,White,48,https://image.tmdb.org/t/p/w1280//t59I45kO8VxH57gg6hGE5UyC0f7.jpg
1976,49,Network,Actor in a Leading Role,M,1,Peter Finch,White,60,https://image.tmdb.org/t/p/w1280//dQ7jYlTq05FckFujavbEba4rlQK.jpg
1976,49,All the President's Men,Actor in a Supporting Role,M,1,Jason Robards,White,54,https://image.tmdb.org/t/p/w1280//d5t554TsCjMvI9zwe7M5gNLvZeX.jpg
1976,49,Network,Actress in a Leading Role,F,1,Faye Dunaway,White,36,https://image.tmdb.org/t/p/w1280//cfGKu00Oj5RrLW1g04nOubsGT4r.jpg
1976,49,Network,Actress in a Supporting Role,F,1,Beatrice Straight,White,62,https://image.tmdb.org/t/p/w1280//bN8PXaFCpG6c0qp9FRynCc98c7M.jpg
1977,50,The Goodbye Girl,Actor in a Leading Role,M,1,Richard Dreyfuss,White,30,https://image.tmdb.org/t/p/w1280//7JPMhXnfY5jgPbtByutwkHHZS3M.jpg
1977,50,Julia,Actor in a Supporting Role,M,1,Jason Robards,White,55,https://image.tmdb.org/t/p/w1280//d5t554TsCjMvI9zwe7M5gNLvZeX.jpg
1977,50,Annie Hall,Actress in a Leading Role,F,1,Diane Keaton,White,32,https://image.tmdb.org/t/p/w1280//fzgUMnbOkxC6E3EFcYHWHFaiKyp.jpg
1977,50,Julia,Actress in a Supporting Role,F,1,Vanessa Redgrave,White,41,https://image.tmdb.org/t/p/w1280//hGxsPCZkwa30UE0XQdGTB9yT0jz.jpg
1978,51,Coming Home,Actor in a Leading Role,M,1,Jon Voight,White,40,https://image.tmdb.org/t/p/w1280//c7BvyqlvqDkfkFqSBUCiR21fvTh.jpg
1978,51,The Deer Hunter,Actor in a Supporting Role,M,1,Christopher Walken,White,36,https://image.tmdb.org/t/p/w1280//ApgDL7nudR9T2GpjCG4vESgymO2.jpg
1978,51,Coming Home,Actress in a Leading Role,F,1,Jane Fonda,White,41,https://image.tmdb.org/t/p/w1280//y1QtAxHn8XOi4cHzDRJUuvK3aFp.jpg
1978,51,California Suite,Actress in a Supporting Role,F,1,Maggie Smith,White,44,https://image.tmdb.org/t/p/w1280//kkMNu2iqkBPkbjhNBmDaUX7FHr.jpg
1979,52,Kramer vs. Kramer,Actor in a Leading Role,M,1,Dustin Hoffman,White,42,https://image.tmdb.org/t/p/w1280//3pZx8NB30KIw31rBAT62TUDQFEb.jpg
1979,52,Being There,Actor in a Supporting Role,M,1,Melvyn Douglas,White,79,https://image.tmdb.org/t/p/w1280//to1UafQjBjZcN31AAS4fjmubk9Q.jpg
1979,52,Norma Rae,Actress in a Leading Role,F,1,Sally Field,White,33,https://image.tmdb.org/t/p/w1280//ymhpsxujOO3a9qaGYSpkenCt9Le.jpg
1979,52,Kramer vs. Kramer,Actress in a Supporting Role,F,1,Meryl Streep,White,30,https://image.tmdb.org/t/p/w1280//xqL5IJxV0fDeD3OfkS3eWqwJoGV.jpg
1980,53,Raging Bull,Actor in a Leading Role,M,1,Robert De Niro,White,37,https://image.tmdb.org/t/p/w1280//lvTSwUcvJRLAJ2FB5qFaukel516.jpg
1980,53,Ordinary People,Actor in a Supporting Role,M,1,Timothy Hutton,White,20,https://image.tmdb.org/t/p/w1280//ypC4mzLExwmG0QHfi8vFe9LTeSi.jpg
1980,53,Coal Miner's Daughter,Actress in a Leading Role,F,1,Sissy Spacek,White,31,https://image.tmdb.org/t/p/w1280//zauFMssYujKk7Kadz0t100VU5WE.jpg
1980,53,Melvin and Howard,Actress in a Supporting Role,F,1,Mary Steenburgen,White,28,https://image.tmdb.org/t/p/w1280//yJhfuqS3yXW7kLSyvRU6n3b35mq.jpg
1981,54,On Golden Pond,Actor in a Leading Role,M,1,Henry Fonda,White,76,https://image.tmdb.org/t/p/w1280//jNLuMWW7SpSeGMUP5qxOAtg0Ryr.jpg
1981,54,Arthur,Actor in a Supporting Role,M,1,John Gielgud,White,77,https://image.tmdb.org/t/p/w1280//jvTSqk7cuOrsdtf037olQ9BKRAe.jpg
1981,54,On Golden Pond,Actress in a Leading Role,F,1,Katharine Hepburn,White,74,https://image.tmdb.org/t/p/w1280//ieGNYekIGc5R16cYmIzzyo59Lfz.jpg
1981,54,Reds,Actress in a Supporting Role,F,1,Maureen Stapleton,White,56,https://image.tmdb.org/t/p/w1280//7zazX6qycXK1CBXkNT1t9FCEEkk.jpg
1982,55,Gandhi,Actor in a Leading Role,M,1,Ben Kingsley,Mixed,39,https://image.tmdb.org/t/p/w1280//2Eu3j31JDJek70ZXLY6xfeUaJoR.jpg
1982,55,An Officer and a Gentleman,Actor in a Supporting Role,M,1,"Louis Gossett, Jr.",Black,46,https://image.tmdb.org/t/p/w1280//ggWZg5ADOjhMLqfr9canl7gNTGD.jpg
1982,55,Sophie's Choice,Actress in a Leading Role,F,1,Meryl Streep,White,33,https://image.tmdb.org/t/p/w1280//xqL5IJxV0fDeD3OfkS3eWqwJoGV.jpg
1982,55,Tootsie,Actress in a Supporting Role,F,1,Jessica Lange,White,33,https://image.tmdb.org/t/p/w1280//hC862LK6M6mMcCnhOzIyfvTmQk4.jpg
1983,56,Tender Mercies,Actor in a Leading Role,M,1,Robert Duvall,White,53,https://image.tmdb.org/t/p/w1280//1aBC7NxPy10ofng6HsJBecJ1vMZ.jpg
1983,56,Terms of Endearment,Actor in a Supporting Role,M,1,Jack Nicholson,White,46,https://image.tmdb.org/t/p/w1280//z5kVLyn3sxj0wNRlFgVgT6deeRO.jpg
1983,56,Terms of Endearment,Actress in a Leading Role,F,1,Shirley MacLaine,White,49,https://image.tmdb.org/t/p/w1280//faG5S4EOVaGHNf1CwZryGcHCE4e.jpg
1983,56,The Year of Living Dangerously,Actress in a Supporting Role,F,1,Linda Hunt,White,39,https://image.tmdb.org/t/p/w1280//cytXcZdHAmPJFBGnhwhg0CT40C4.jpg
1984,57,Amadeus,Actor in a Leading Role,M,1,F. Murray Abraham,White,45,https://image.tmdb.org/t/p/w1280//vXurMA6XOAREPEyW6QRu5xKfGIT.jpg
1984,57,The Killing Fields,Actor in a Supporting Role,M,1,Haing S. Ngor,Asian,45,https://image.tmdb.org/t/p/w1280//dwvHUD5Q85IgxvDSEFXUlTtQq61.jpg
1984,57,Places in the Heart,Actress in a Leading Role,F,1,Sally Field,White,38,https://image.tmdb.org/t/p/w1280//ymhpsxujOO3a9qaGYSpkenCt9Le.jpg
1984,57,A Passage to India,Actress in a Supporting Role,F,1,Peggy Ashcroft,White,77,https://image.tmdb.org/t/p/w1280//pZ8ff5C9xwYEl0uYyS0XQzQc1PJ.jpg
1985,58,Kiss of the Spider Woman,Actor in a Leading Role,M,1,William Hurt,White,36,https://image.tmdb.org/t/p/w1280//zp6UOht6c1iyHDbpYn1hkX103lG.jpg
1985,58,Cocoon,Actor in a Supporting Role,M,1,Don Ameche,White,77,https://image.tmdb.org/t/p/w1280//q4t9dds6jQuuqpMLvALbOqVJRFV.jpg
1985,58,The Trip to Bountiful,Actress in a Leading Role,F,1,Geraldine Page,White,61,https://image.tmdb.org/t/p/w1280//zyGpaCsHZUJRUyFUJNlTQ6dBs6F.jpg
1985,58,Prizzi's Honor,Actress in a Supporting Role,F,1,Anjelica Huston,White,34,https://image.tmdb.org/t/p/w1280//Aiyv68gYWcEe9OYhyCkOa09kjmy.jpg
1986,59,The Color of Money,Actor in a Leading Role,M,1,Paul Newman,White,62,https://image.tmdb.org/t/p/w1280//my0Blo9IBy1WZ0QKbuxUzS0QwV5.jpg
1986,59,Hannah and Her Sisters,Actor in a Supporting Role,M,1,Michael Caine,White,54,https://image.tmdb.org/t/p/w1280//vvj0JMSFpOajXCE46Hy4dyqSP2U.jpg
1986,59,Children of a Lesser God,Actress in a Leading Role,F,1,Marlee Matlin,White,21,https://image.tmdb.org/t/p/w1280//jqu19nl2p46GE6UAkfztD7jpKOv.jpg
1986,59,Hannah and Her Sisters,Actress in a Supporting Role,F,1,Dianne Wiest,White,39,https://image.tmdb.org/t/p/w1280//sWm7Oar69rHGJzKgcP4iutwUmLb.jpg
1987,60,Wall Street,Actor in a Leading Role,M,1,Michael Douglas,White,43,https://image.tmdb.org/t/p/w1280//nmlitv4g2jXO3sJrnA9g980j2uc.jpg
1987,60,The Untouchables,Actor in a Supporting Role,M,1,Sean Connery,White,57,https://image.tmdb.org/t/p/w1280//ce84udJZ9QRSR44jxwK2apM3DM8.jpg
1987,60,Moonstruck,Actress in a Leading Role,F,1,Cher,White,41,https://image.tmdb.org/t/p/w1280//nLi4qPXWEuhjc31bmbeINLVZ8zS.jpg
1987,60,Moonstruck,Actress in a Supporting Role,F,1,Olympia Dukakis,White,56,https://image.tmdb.org/t/p/w1280//8kYmUwC0SfnJKt39M5Xrr8Q0oIf.jpg
1988,61,Rain Man,Actor in a Leading Role,M,1,Dustin Hoffman,White,51,https://image.tmdb.org/t/p/w1280//3pZx8NB30KIw31rBAT62TUDQFEb.jpg
1988,61,A Fish Called Wanda,Actor in a Supporting Role,M,1,Kevin Kline,White,41,https://image.tmdb.org/t/p/w1280//u9QXn3fL7zCC2c6HA2vFgH1JxZg.jpg
1988,61,The Accused,Actress in a Leading Role,F,1,Jodie Foster,White,26,https://image.tmdb.org/t/p/w1280//eAIE6bnOQ8rm0f933gyeAQdIwrP.jpg
1988,61,The Accidental Tourist,Actress in a Supporting Role,F,1,Geena Davis,White,33,https://image.tmdb.org/t/p/w1280//6b8cRJOItz7yNpYuLCPkl5kv4m2.jpg
1989,62,My Left Foot,Actor in a Leading Role,M,1,Daniel Day Lewis,White,32,https://image.tmdb.org/t/p/w1280//hknfCSSU6AMeKV9yn9NTtTzIEGc.jpg
1989,62,Glory,Actor in a Supporting Role,M,1,Denzel Washington,Black,35,https://image.tmdb.org/t/p/w1280//khMf8LLTtppUwuZqqnigD2nAy26.jpg
1989,62,Driving Miss Daisy,Actress in a Leading Role,F,1,Jessica Tandy,White,80,https://image.tmdb.org/t/p/w1280//tDoTea4JEVuo8wgzkOxUpd1Drkh.jpg
1989,62,My Left Foot,Actress in a Supporting Role,F,1,Brenda Fricker,White,45,https://image.tmdb.org/t/p/w1280//z2ARJBvxE1mCwQ6XARTKvvPQySu.jpg
1990,63,Reversal of Fortune,Actor in a Leading Role,M,1,Jeremy Irons,White,42,https://image.tmdb.org/t/p/w1280//9AWphjIgGX7JjTrwrx3tsTZlUgv.jpg
1990,63,Good Fellas,Actor in a Supporting Role,M,1,Joe Pesci,White,48,https://image.tmdb.org/t/p/w1280//2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg
1990,63,Misery,Actress in a Leading Role,F,1,Kathy Bates,White,42,https://image.tmdb.org/t/p/w1280//pwHCkfIBeDdz93RlcmDWqXefozi.jpg
1990,63,Ghost,Actress in a Supporting Role,F,1,Whoopi Goldberg,Black,35,https://image.tmdb.org/t/p/w1280//n3lF8w4X4rDa4J2LMDIxMEcuUeH.jpg
1991,64,The Silence of the Lambs,Actor in a Leading Role,M,1,Anthony Hopkins,White,54,https://image.tmdb.org/t/p/w1280//btweZvSRBiE6jaMME93BSXeTQN6.jpg
1991,64,City Slickers,Actor in a Supporting Role,M,1,Jack Palance,White,73,https://image.tmdb.org/t/p/w1280//vVQxDsA4FVDRZm6Pm3ohjmuJFxh.jpg
1991,64,The Silence of the Lambs,Actress in a Leading Role,F,1,Jodie Foster,White,29,https://image.tmdb.org/t/p/w1280//eAIE6bnOQ8rm0f933gyeAQdIwrP.jpg
1991,64,The Fisher King,Actress in a Supporting Role,F,1,Mercedes Ruehl,White,44,https://image.tmdb.org/t/p/w1280//dGyZ3s7TdC88JgDMQaQqUOwFul0.jpg
1992,65,Scent of a Woman,Actor in a Leading Role,M,1,Al Pacino,White,52,https://image.tmdb.org/t/p/w1280//f9tBVwcNHnawvMoyuuzmKvEhBsb.jpg
1992,65,Unforgiven,Actor in a Supporting Role,M,1,Gene Hackman,White,63,https://image.tmdb.org/t/p/w1280//qEKcmwc1XstymEniGuCs3KIsGfP.jpg
1992,65,Howards End,Actress in a Leading Role,F,1,Emma Thompson,White,33,https://image.tmdb.org/t/p/w1280//cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg
1992,65,My Cousin Vinny,Actress in a Supporting Role,F,1,Marisa Tomei,White,28,https://image.tmdb.org/t/p/w1280//l87UKhZ1ethWmn8lksmLZ2LcQJ1.jpg
1993,66,Philadelphia,Actor in a Leading Role,M,1,Tom Hanks,White,37,https://image.tmdb.org/t/p/w1280//pQFoyx7rp09CJTAb932F2g8Nlho.jpg
1993,66,The Fugitive,Actor in a Supporting Role,M,1,Tommy Lee Jones,White,47,https://image.tmdb.org/t/p/w1280//gRXugLFvr1oHZ6alLUxmYDq8cgW.jpg
1993,66,The Piano,Actress in a Leading Role,F,1,Holly Hunter,White,36,https://image.tmdb.org/t/p/w1280//sfqLoSx2dmfQTafqbv8lNHnBeUW.jpg
1993,66,The Piano,Actress in a Supporting Role,F,1,Anna Paquin,White,11,https://image.tmdb.org/t/p/w1280//5Q4vZK2PqHkreQLmbPspIgrSLUP.jpg
1994,67,Forrest Gump,Actor in a Leading Role,M,1,Tom Hanks,White,38,https://image.tmdb.org/t/p/w1280//pQFoyx7rp09CJTAb932F2g8Nlho.jpg
1994,67,Ed Wood,Actor in a Supporting Role,M,1,Martin Landau,White,66,https://image.tmdb.org/t/p/w1280//ylT7pqkcPNsHloe2dJsePFSoIkE.jpg
1994,67,Blue Sky,Actress in a Leading Role,F,1,Jessica Lange,White,45,https://image.tmdb.org/t/p/w1280//hC862LK6M6mMcCnhOzIyfvTmQk4.jpg
1994,67,Bullets over Broadway,Actress in a Supporting Role,F,1,Dianne Wiest,White,46,https://image.tmdb.org/t/p/w1280//sWm7Oar69rHGJzKgcP4iutwUmLb.jpg
1995,68,Leaving Las Vegas,Actor in a Leading Role,M,1,Nicolas Cage,White,32,https://image.tmdb.org/t/p/w1280//fW37Gbk5PJZuXvyZwtcr0cMwPKY.jpg
1995,68,The Usual Suspects,Actor in a Supporting Role,M,1,Kevin Spacey,White,36,https://image.tmdb.org/t/p/w1280//x7wF050iuCASefLLG75s2uDPFUu.jpg
1995,68,Dead Man Walking,Actress in a Leading Role,F,1,Susan Sarandon,White,49,http://static.tvgcdn.net/mediabin/showcards/celebs/s-u/thumbs/susan-sarandon-175785_828x1104.png
1995,68,Mighty Aphrodite,Actress in a Supporting Role,F,1,Mira Sorvino,White,28,https://image.tmdb.org/t/p/w1280//ooyCQtEdE9wIsgC1lZRFo36VzRo.jpg
1996,69,Shine,Actor in a Leading Role,M,1,Geoffrey Rush,White,45,https://image.tmdb.org/t/p/w1280//5h91WHSK80YtqTk1bMiar2IZzO2.jpg
1996,69,Jerry Maguire,Actor in a Supporting Role,M,1,"Cuba Gooding, Jr.",Black,29,https://image.tmdb.org/t/p/w1280//yu8Q3ImFu3RJne585jjgeQO2Boo.jpg
1996,69,Fargo,Actress in a Leading Role,F,1,Frances McDormand,White,39,https://image.tmdb.org/t/p/w1280//jodV4NuQAvxQWIHxqnop1jUX77N.jpg
1996,69,The English Patient,Actress in a Supporting Role,F,1,Juliette Binoche,White,33,https://image.tmdb.org/t/p/w1280//rkW6eE75Tt1i3J1s2fsIDZBW0kd.jpg
1997,70,As Good as It Gets,Actor in a Leading Role,M,1,Jack Nicholson,White,60,https://image.tmdb.org/t/p/w1280//z5kVLyn3sxj0wNRlFgVgT6deeRO.jpg
1997,70,Good Will Hunting,Actor in a Supporting Role,M,1,Robin Williams,White,46,https://image.tmdb.org/t/p/w1280//5KebSMXT8uj2D0gkaMFJ8VEp53.jpg
1997,70,As Good as It Gets,Actress in a Leading Role,F,1,Helen Hunt,White,34,https://image.tmdb.org/t/p/w1280//ws1ClG9BBUIVLZRYTNKconJn9Sy.jpg
1997,70,L.A. Confidential,Actress in a Supporting Role,F,1,Kim Basinger,White,44,https://image.tmdb.org/t/p/w1280//xpv6NgpY0mDr5QSWjZLXy5KlFn9.jpg
1998,71,Life Is Beautiful,Actor in a Leading Role,M,1,Roberto Benigni,White,46,https://image.tmdb.org/t/p/w1280//v2C2JVPVRg0zwgrI0yqeanUxVLa.jpg
1998,71,Affliction,Actor in a Supporting Role,M,1,James Coburn,White,70,https://image.tmdb.org/t/p/w1280//sEouHlYr1hOzl3u6E4KV6gIJSPd.jpg
1998,71,Shakespeare in Love,Actress in a Leading Role,F,1,Gwyneth Paltrow,White,26,https://image.tmdb.org/t/p/w1280//8x3jpWD7DEvyMXO1FOjwNdd1UZT.jpg
1998,71,Shakespeare in Love,Actress in a Supporting Role,F,1,Judi Dench,White,64,https://image.tmdb.org/t/p/w1280//2is9RvJ3BQAku2EtCmyk5EZoxzT.jpg
1999,72,American Beauty,Actor in a Leading Role,M,1,Kevin Spacey,White,40,https://image.tmdb.org/t/p/w1280//x7wF050iuCASefLLG75s2uDPFUu.jpg
1999,72,The Cider House Rules,Actor in a Supporting Role,M,1,Michael Caine,White,67,https://image.tmdb.org/t/p/w1280//vvj0JMSFpOajXCE46Hy4dyqSP2U.jpg
1999,72,Boys Don't Cry,Actress in a Leading Role,F,1,Hilary Swank,White,25,https://image.tmdb.org/t/p/w1280//zVM2gbZhuipISCoALn6iEN1bmop.jpg
1999,72,"Girl, Interrupted",Actress in a Supporting Role,F,1,Angelina Jolie,White,24,https://image.tmdb.org/t/p/w1280//6tocswK39SrSjZIRDaTpVyPxDz8.jpg
2000,73,Gladiator,Actor in a Leading Role,M,1,Russell Crowe,White,36,https://image.tmdb.org/t/p/w1280//ktuOAyUHM2u2YPPChH8gAArxJ7b.jpg
2000,73,Traffic,Actor in a Supporting Role,M,1,Benicio Del Toro,Latinx,34,https://image.tmdb.org/t/p/w1280//5TlC56RMfTeeBxhI6myQe4SDEEo.jpg
2000,73,Erin Brockovich,Actress in a Leading Role,F,1,Julia Roberts,White,33,https://image.tmdb.org/t/p/w1280//h13yvG0tRNMTAwciQXxYmQWdYW8.jpg
2000,73,Pollock,Actress in a Supporting Role,F,1,Marcia Gay Harden,White,41,https://image.tmdb.org/t/p/w1280//9TYI6LAu4S0vkn47RjLLgFrhtrc.jpg
2001,74,Training Day,Actor in a Leading Role,M,1,Denzel Washington,Black,47,https://image.tmdb.org/t/p/w1280//khMf8LLTtppUwuZqqnigD2nAy26.jpg
2001,74,Iris,Actor in a Supporting Role,M,1,Jim Broadbent,White,52,https://image.tmdb.org/t/p/w1280//50TV6UKJKjmqdn1GQNuuCIYHLzP.jpg
2001,74,Monster's Ball,Actress in a Leading Role,F,1,Halle Berry,Black,35,https://image.tmdb.org/t/p/w1280//w7HRZh4UhimZO2F6GywkYhjgAX3.jpg
2001,74,A Beautiful Mind,Actress in a Supporting Role,F,1,Jennifer Connelly,White,31,https://image.tmdb.org/t/p/w1280//xTpRRy9hwk4E2uypuQ30iqt2W2W.jpg
2002,75,The Pianist,Actor in a Leading Role,M,1,Adrien Brody,White,29,https://image.tmdb.org/t/p/w1280//zvMslH1C8xmEBpGgDsdzL797Rv.jpg
2002,75,Adaptation,Actor in a Supporting Role,M,1,Chris Cooper,White,51,https://image.tmdb.org/t/p/w1280//ytZY7YofdiAZyiyr4NyiB77lwwQ.jpg
2002,75,The Hours,Actress in a Leading Role,F,1,Nicole Kidman,White,35,https://image.tmdb.org/t/p/w1280//1ammEgq5D6qw5mM4WkgUmnxQ7Uy.jpg
2002,75,Chicago,Actress in a Supporting Role,F,1,Catherine Zeta-Jones,White,33,https://image.tmdb.org/t/p/w1280//3qDN8It9ulUqpOqkxJgW0WnWFho.jpg
2003,76,Mystic River,Actor in a Leading Role,M,1,Sean Penn,White,43,https://image.tmdb.org/t/p/w1280//f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg
2003,76,Mystic River,Actor in a Supporting Role,M,1,Tim Robbins,White,45,https://image.tmdb.org/t/p/w1280//7pirFsBQe93TSfzu404Hgcj1YWj.jpg
2003,76,Monster,Actress in a Leading Role,F,1,Charlize Theron,White,28,https://image.tmdb.org/t/p/w1280//k5Xt2mNlraX7yHYaPy9gvayCaKV.jpg
2003,76,Cold Mountain,Actress in a Supporting Role,F,1,Renée Zellweger,White,34,https://image.tmdb.org/t/p/w1280//aeUnfem148WrhpQcmiUuSRGhCYU.jpg
2004,77,Ray,Actor in a Leading Role,M,1,Jamie Foxx,Black,37,https://image.tmdb.org/t/p/w1280//cDRGXCNrwf1p9jouw9GzhU2vWP7.jpg
2004,77,Million Dollar Baby,Actor in a Supporting Role,M,1,Morgan Freeman,Black,67,https://image.tmdb.org/t/p/w1280//oGJQhOpT8S1M56tvSsbEBePV5O1.jpg
2004,77,Million Dollar Baby,Actress in a Leading Role,F,1,Hilary Swank,White,30,https://image.tmdb.org/t/p/w1280//zVM2gbZhuipISCoALn6iEN1bmop.jpg
2004,77,The Aviator,Actress in a Supporting Role,F,1,Cate Blanchett,White,35,https://image.tmdb.org/t/p/w1280//5HikVWKfkkUa8aLdCMHtREBECIn.jpg
2005,78,Capote,Actor in a Leading Role,M,1,Philip Seymour Hoffman,White,38,https://image.tmdb.org/t/p/w1280//8DjE4XIngdn0dK3RnIKTHB8U8jZ.jpg
2005,78,Syriana,Actor in a Supporting Role,M,1,George Clooney,White,44,https://image.tmdb.org/t/p/w1280//esyiULfB7kSrhgzBkLamjsTTKEg.jpg
2005,78,Walk the Line,Actress in a Leading Role,F,1,Reese Witherspoon,White,29,https://image.tmdb.org/t/p/w1280//4JsKUdunVSiG7RQOJtzItMmQJXn.jpg
2005,78,The Constant Gardener,Actress in a Supporting Role,F,1,Rachel Weisz,White,35,https://image.tmdb.org/t/p/w1280//3QbFXeiUzXUVUrJ7fdiCn7A7ReW.jpg
2006,79,The Last King of Scotland,Actor in a Leading Role,M,1,Forest Whitaker,Black,45,https://image.tmdb.org/t/p/w1280//4pMQkelS5lK661m9Kz3oIxLYiyS.jpg
2006,79,Little Miss Sunshine,Actor in a Supporting Role,M,1,Alan Arkin,White,72,https://image.tmdb.org/t/p/w1280//gcrKO2z0YVUXBXVeB9V8PndG0IJ.jpg
2006,79,The Queen,Actress in a Leading Role,F,1,Helen Mirren,White,61,https://image.tmdb.org/t/p/w1280//4EGgBJPUBz68ZrnFuLVo01r0uND.jpg
2006,79,Dreamgirls,Actress in a Supporting Role,F,1,Jennifer Hudson,Black,24,https://image.tmdb.org/t/p/w1280//zqTu7AANIUsVMAYz5rK1YPnvbWR.jpg
2007,80,There Will Be Blood,Actor in a Leading Role,M,1,Daniel Day-Lewis,White,50,https://image.tmdb.org/t/p/w1280//hknfCSSU6AMeKV9yn9NTtTzIEGc.jpg
2007,80,No Country for Old Men,Actor in a Supporting Role,M,1,Javier Bardem,White,38,https://image.tmdb.org/t/p/w1280//xuNNAISHISlbYI0HjZhmfXcMwnn.jpg
2007,80,La Vie en Rose,Actress in a Leading Role,F,1,Marion Cotillard,White,32,https://image.tmdb.org/t/p/w1280//eSRyCYy2qiGIRodOV5eZJJRZIyP.jpg
2007,80,Michael Clayton,Actress in a Supporting Role,F,1,Tilda Swinton,White,47,https://image.tmdb.org/t/p/w1280//eGNo9qwlunvAi4kCVUEFtQFM5X.jpg
2008,81,Milk,Actor in a Leading Role,M,1,Sean Penn,White,48,https://image.tmdb.org/t/p/w1280//f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg
