Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
1939,12,Gone with the Wind,Actress in a Supporting Role,,1,Hattie McDaniel,Black,44,https://www.biography.com/.image/t_share/MTE5NDg0MDU0NjI3NzE0NTc1/hattie-mcdaniel-38433-1-402.jpg
1940,13,The Philadelphia Story,Actor,M,1,James Stewart,White,32,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg/1200px-Annex_-_Stewart%2C_James_%28Call_Northside_777%29_01.jpg
1940,13,The Westerner,Actor in a Supporting Role,M,1,Walter Brennan,White,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA5NjE1MF5BMl5BanBnXkFtZTYwMTMxMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
1940,13,Kitty Foyle,Actress,F,1,Ginger Rogers,White,29,http://fordneyfoundation.org/wp-content/uploads/2015/03/ginger-rogers-4.jpg
1940,13,The Grapes of Wrath,Actress in a Supporting Role,F,1,Jane Darwell,White,61,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTM2NDI4MV5BMl5BanBnXkFtZTYwMDQ2MjI2._V1_UY317_CR22,0,214,317_AL_.jpg"
1941,14,Sergeant York,Actor,M,1,Gary Cooper,White,40,https://www.biography.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cg_face%2Cq_80%2Cw_300/MTE1ODA0OTcxNTk1NDk5MDIx/gary-cooper-9256519-1-402.jpg
1941,14,How Green Was My Valley,Actor in a Supporting Role,M,1,Donald Crisp,White,59,http://www.latimes.com/includes/projects/hollywood/portraits/donald_crisp.jpg
1941,14,Suspicion,Actress,F,1,Joan Fontaine,White,24,"http://www.doctormacro.com/Images/Fontaine,%20Joan/Annex/Annex%20-%20Fontaine,%20Joan_02.jpg"
1941,14,The Great Lie,Actress in a Supporting Role,F,1,Mary Astor,White,35,https://upload.wikimedia.org/wikipedia/commons/2/2b/Mary_Astor-1930s.JPG
1942,15,Yankee Doodle Dandy,Actor,M,1,James Cagney,White,43,https://www.otrcat.com/images/james-cagney-2-otrcat.com.jpg
1942,15,Johnny Eager,Actor in a Supporting Role,M,1,Van Heflin,White,32,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Heflin%2C_Van.jpg/1200px-Heflin%2C_Van.jpg
1942,15,Mrs. Miniver,Actress,F,1,Greer Garson,White,38,http://www.hollywoodsgoldenage.com/images/greer.jpg
1942,15,Mrs. Miniver,Actress in a Supporting Role,F,1,Teresa Wright,White,24,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Teresa-Wright-1942-1.jpg/1200px-Teresa-Wright-1942-1.jpg
1943,16,Watch on the Rhine,Actor,M,1,Paul Lukas,White,48,https://upload.wikimedia.org/wikipedia/en/d/d4/Paul_Lukas_-_1950.jpg
1943,16,The More the Merrier,Actor in a Supporting Role,M,1,Charles Coburn,White,66,https://i.pinimg.com/originals/9b/f5/b1/9bf5b1ab09404b3633b0df8e1a0c005b.jpg
1943,16,The Song of Bernadette,Actress,F,1,Jennifer Jones,White,25,http://www.nndb.com/people/809/000063620/j-jones-sm.jpg
1943,16,For Whom the Bell Tolls,Actress in a Supporting Role,F,1,Katina Paxinou,White,43,http://www.latimes.com/includes/projects/hollywood/portraits/katrina_paxinou.jpg
1944,17,Going My Way,Actor,M,1,Bing Crosby,White,41,https://image.tmdb.org/t/p/w1280//sKD1GauhPSBDIuVc9wrcNj9a9Wq.jpg
1944,17,Going My Way,Actor in a Supporting Role,M,1,Barry Fitzgerald,White,57,https://image.tmdb.org/t/p/w1280//qT8v92uSb19IsHxuqBGNU43iVJ6.jpg
1944,17,Gaslight,Actress,F,1,Ingrid Bergman,White,29,https://image.tmdb.org/t/p/w1280//jXEE0P6705JbMAJ2nwtHjmqkd5F.jpg
1944,17,None but the Lonely Heart,Actress in a Supporting Role,F,1,Ethel Barrymore,White,65,https://image.tmdb.org/t/p/w1280//24OXA0rGmxbF09D5aK7aiWe6HCB.jpg
1945,18,The Lost Weekend,Actor,M,1,Ray Milland,White,39,https://image.tmdb.org/t/p/w1280//zB7jGIBc6dc3fMqCpXlCDZxQrll.jpg
1945,18,A Tree Grows in Brooklyn,Actor in a Supporting Role,M,1,James Dunn,White,44,https://image.tmdb.org/t/p/w1280//eaB9rgLAfv1dJCeOGJwjdTx7o3p.jpg
1945,18,Mildred Pierce,Actress,F,1,Joan Crawford,White,40,https://image.tmdb.org/t/p/w1280//18zM03CrzqmF3CuONgeIFkjL62K.jpg
1945,18,National Velvet,Actress in a Supporting Role,F,1,Anne Revere,White,42,https://image.tmdb.org/t/p/w1280//cDizEndftfMxxILwLGhYZjoTB61.jpg
1946,19,The Best Years of Our Lives,Actor,M,1,Fredric March,White,49,https://image.tmdb.org/t/p/w1280//iqF3LWUhBvbBgYohM8yPZCyLYq0.jpg
1946,19,The Best Years of Our Lives,Actor in a Supporting Role,M,1,Harold Russell,White,33,https://image.tmdb.org/t/p/w1280//xkxcIQRpzwnqg0T5NFwE0WfjlUG.jpg
1946,19,To Each His Own,Actress,F,1,Olivia de Havilland,White,30,https://image.tmdb.org/t/p/w1280//rnMSdk6OZvRdimYbFHjiaYOtIlt.jpg
1946,19,The Razor's Edge,Actress in a Supporting Role,F,1,Anne Baxter,White,23,https://image.tmdb.org/t/p/w1280//jOnJoazpO6q2vAVL37IQfzQbjav.jpg
1947,20,A Double Life,Actor,M,1,Ronald Colman,White,57,https://image.tmdb.org/t/p/w1280//eYzmXamTV6CpqwxZqTEJSBRNlb0.jpg
1947,20,Miracle on 34th Street,Actor in a Supporting Role,M,1,Edmund Gwenn,White,70,https://image.tmdb.org/t/p/w1280//6IL8cwEo3yPZs6hLq07YC0boUoI.jpg
1947,20,The Farmer's Daughter,Actress,F,1,Loretta Young,White,35,https://image.tmdb.org/t/p/w1280//g5IlFLATSLpINVlaoV8Ncce2RCA.jpg
1947,20,Gentleman's Agreement,Actress in a Supporting Role,F,1,Celeste Holm,White,30,https://image.tmdb.org/t/p/w1280//3TWctkWuPrtiwjqkfSDjDFcMcx.jpg
1948,21,Hamlet,Actor,M,1,Laurence Olivier,White,41,https://image.tmdb.org/t/p/w1280//n8jDSq91O95HSbtCJLRsM367kKx.jpg
1948,21,The Treasure of the Sierra Madre,Actor in a Supporting Role,M,1,Walter Huston,White,65,https://image.tmdb.org/t/p/w1280//17N08QrQ6Am3hQD5noz5zozGaFH.jpg
1948,21,Johnny Belinda,Actress,F,1,Jane Wyman,White,32,https://image.tmdb.org/t/p/w1280//nw2qjwNEEJvhJbgqSu9DmqBGY0W.jpg
1948,21,Key Largo,Actress in a Supporting Role,F,1,Claire Trevor,White,39,https://image.tmdb.org/t/p/w1280//6RMb6vmgxfTpSWF7fggD0kYnP19.jpg
1949,22,All the King's Men,Actor,M,1,Broderick Crawford,White,38,https://image.tmdb.org/t/p/w1280//fCoHg9CyOza4o9Mg1TLd5yXFGM4.jpg
1949,22,Twelve O'Clock High,Actor in a Supporting Role,M,1,Dean Jagger,White,46,https://image.tmdb.org/t/p/w1280//ynPzyxE5xvkKDwr8xw18WoCsITN.jpg
1949,22,The Heiress,Actress,F,1,Olivia de Havilland,White,33,https://image.tmdb.org/t/p/w1280//rnMSdk6OZvRdimYbFHjiaYOtIlt.jpg
1949,22,All the King's Men,Actress in a Supporting Role,F,1,Mercedes McCambridge,White,34,https://image.tmdb.org/t/p/w1280//hfpsmWUzDHeblAJ0vKv0ftXg0jB.jpg
